numero_arrete,date_signature,debut_validite_arrete,fin_validite_arrete,duree_jours
LOT_AP_E-2022-359_20221229,2022-12-29,2023-01-01,2023-01-31,31.0
2022-12-28-00003,2022-12-28,2023-01-01,2023-01-13,13.0
arrêté-hivers_20230112,2023-01-12,2023-01-14,2023-03-27,73.0
2022-01-1300001,2023-01-13,2023-01-14,2023-01-17,4.0
12-2023,2023-02-09,2023-02-09,2023-02-13,5.0
16-2023,2023-02-14,2023-02-14,2023-03-19,34.0
DDTM/SEBIO/2023-15,2023-02-17,2023-02-17,2023-06-27,131.0
DDTM/SEBIO/2023-16,2023-02-17,2023-02-17,2023-06-27,131.0
DDTM/SEBIO/2023-17,2023-02-17,2023-02-17,2023-03-23,35.0
DDTM/SEBIO/2023-11,2023-02-17,2023-02-17,2023-06-27,131.0
2023-01,2023-02-24,2023-02-24,2023-03-31,36.0
DDTM/SER/2023054-0001,2023-02-23,2023-02-23,2023-04-30,67.0
78-2023-03-03-00001,2023-03-03,2023-03-03,2023-03-15,13.0
94_2023_00824,2023-03-03,2023-03-06,2023-06-17,104.0
19-2023-03-06-00001_ESUP,2023-03-06,2023-03-06,2023-04-15,41.0
19-2023-03-06-00001_ESOU,2023-03-06,2023-03-06,2023-04-15,41.0
07-2023-03-06-00016,2023-03-06,2023-03-06,2023-03-20,15.0
26-2022-12-21-00007 et 38-2022-12-21-00006,2022-12-21,2023-03-21,2023-02-28,-20.0
AP 38-2023-03-08-00002 et AP 26-2023-03-02-0004,2023-03-08,2023-03-09,2023-04-23,46.0
26-2023-03-01-00005,2023-03-01,2023-03-01,2023-03-01,1.0
26-2023-03-01-00004 et 38-2023-03-08-00002,2023-03-01,2023-03-08,2023-04-05,29.0
23-2023-03-09-00001,2023-03-09,2023-03-09,2023-03-31,23.0
30-2023-03-10-00002,2023-03-10,2023-03-11,2023-04-11,32.0
DDT/SEE/2023/0016,2023-03-10,2023-03-10,2023-06-14,97.0
20230314_Vigilance_Neste_AP1,2023-03-13,2023-03-14,2023-04-11,29.0
13 AVRIL 2023,2023-03-13,2023-03-13,2023-04-16,35.0
13 MARS 2023,2023-03-13,2023-03-13,2023-05-14,63.0
28-2023,2023-03-20,2023-03-20,2023-04-19,31.0
78-2023-03-15-00001,2023-03-15,2023-03-16,2023-04-06,22.0
78-2023-03-15-00001,2023-03-15,2023-03-15,2023-04-06,23.0
74_CP_20230310_Cheran_Vigilance,2023-01-01,2023-01-01,2023-04-15,105.0
DDT37_Vigilance 2023,2023-03-16,2023-03-16,2023-05-26,72.0
20230307,2023-03-07,2023-03-07,2023-04-06,31.0
26-2023-03-17-00001,2023-03-17,2023-03-17,2023-05-11,56.0
2023_03_17_LEZE_vigilance,2023-03-17,2023-03-17,2023-07-01,107.0
2023_03_17_ARIZE_vigilance,2023-03-17,2023-03-17,2023-07-01,107.0
2023_03_17_HERS ARIEGE_vigilance,2023-03-17,2023-03-17,2023-07-01,107.0
2023_03_17_BV Salat-Volp-Aude,2023-03-17,2023-03-17,2023-07-01,107.0
2023-0178,2023-03-16,2023-03-16,2023-04-15,31.0
47-2023-03-16-00003,2023-03-16,2023-03-20,2023-06-14,87.0
26-2023-03-01-00005*,2023-03-01,2023-03-01,2023-04-05,36.0
DDTM-SEMA-2023-0040,2023-03-17,2023-03-17,2023-05-03,48.0
07-2023-03-21-00005,2023-03-21,2023-03-21,2023-04-06,17.0
2023-082-004,2023-03-23,2023-03-23,2023-04-20,29.0
17-2023-SEC,2023-03-23,2023-03-24,2023-06-21,90.0
AP_n°2023_DDT_SEB_96,2023-03-08,2023-03-13,2023-04-03,22.0
APN°2023_DDT_SEB_93_DN,2023-03-08,2023-03-13,2023-03-19,7.0
AP_N°2023_DDT_SEB_113_DiveDuNord,2023-03-16,2023-03-20,2023-03-26,7.0
AP_2023_DDT_SEB_123_Dive_du_Nord,2023-03-22,2023-03-27,2023-04-16,21.0
AP_N°2023_DDT_SEB_95_Clain,2023-03-08,2023-03-13,2023-03-19,7.0
DDT60 - 20230322,2023-03-22,2023-03-22,2023-06-01,72.0
2023_02,2023-03-23,2023-03-24,2023-03-24,1.0
AP_N°2023_DDT_SEB_112_Clain,2023-03-16,2023-03-20,2023-03-26,7.0
AP_2023_DDT_SEB_124_Clain,2023-03-22,2023-03-27,2023-04-16,21.0
2023_03,2023-03-23,2023-03-25,2023-07-07,105.0
65-2023-03-13-00001,2023-03-13,2023-03-13,2023-08-19,160.0
41-2023-03-23-00001,2023-03-23,2023-03-24,2023-05-09,47.0
70-2023-03-23-00010,2023-03-23,2023-03-23,2023-05-29,68.0
70-2023-03-23-00011,2023-03-23,2023-03-23,2023-05-29,68.0
38-2023-03-28-00004 et 26-2023-03-27-00004,2023-03-28,2023-03-28,2023-04-23,27.0
38-2023-03-23-00002,2023-03-23,2023-03-23,2023-04-18,27.0
DDTM/SEBF/2023-121,2023-03-29,2023-03-29,2023-06-13,77.0
23-2023-03-30-00001,2023-03-30,2023-04-01,2023-04-30,30.0
23-2023-03-30-00001,2023-03-30,2023-04-01,2023-03-31,0.0
2023-061,2023-03-10,2023-03-10,2023-04-23,45.0
76_Z5_20230330,2023-03-30,2023-03-30,2023-06-05,68.0
76_Z8_20230330,2023-03-30,2023-03-30,2023-06-05,68.0
76_Z9_20230330,2023-03-30,2023-03-30,2023-06-05,68.0
2023-02,2023-03-29,2023-04-01,2023-06-15,76.0
71-2023-03-30-00002,2023-03-30,2023-03-31,2023-05-29,60.0
36-2023-03-31-00003,2023-03-31,2023-04-01,2023-05-26,56.0
Avre-vigi-renforcee,2023-04-05,2023-04-05,2023-06-15,72.0
Ancre-vigi-renforcee,2023-04-05,2023-04-05,2023-06-15,72.0
2023-04-04,2023-04-04,2023-04-05,2023-06-05,62.0
2350-23-00060,2023-04-06,2023-04-06,2023-06-13,69.0
26-2023-04-06-00002,2023-04-06,2023-04-06,2023-04-13,8.0
26-2023-04-06-00003,2023-04-06,2023-04-06,2023-04-13,8.0
26-2023-04-06-00004,2023-04-06,2023-04-06,2023-04-17,12.0
DDTM34-2023-04-13770,2023-04-05,2023-04-05,2023-04-20,16.0
SE-78-2023-04-06-00019,2023-04-06,2023-04-07,2023-06-23,78.0
DDTM/SEBIO/2023-27,2023-03-24,2023-03-24,2023-06-27,96.0
05-2023-04-07-00002,2023-03-31,2023-04-07,2023-04-16,10.0
26-2023-04-06-00004 ,2023-04-06,2023-04-06,2023-04-16,11.0
30.2023.04.07.00003,2023-04-07,2023-04-07,2023-04-24,18.0
07-2023-04-07-00002,2023-04-07,2023-04-07,2023-04-13,7.0
20230413_AP2_vigilance31,2023-04-12,2023-04-12,2023-07-02,82.0
DDT-SEEB-PPE-2023-Etiage n°01,2023-04-12,2023-04-13,2022-10-31,-163.0
DDT-SEEB-PPE-2022-Etiage n°2023-SN-01,2023-04-12,2023-04-13,2022-10-31,-163.0
AP_N°2023_DDT_SEB_143_DIVE_DU_NORD,2023-04-12,2023-04-17,2023-04-30,14.0
AP_2023_DDT_SEB_144_CLAIN,2023-04-12,2023-04-17,2023-05-21,35.0
20230412_AP_DDT_SEN_20230412_B33,2023-04-12,2023-04-12,2023-07-05,85.0
20230412_AP_DDT_SEN_20230412_B33_EL,2023-04-12,2023-04-12,2023-07-05,85.0
07-2023-04-14-0001,2023-04-14,2023-04-14,2023-05-04,21.0
42-2023,2023-04-20,2023-04-20,2023-06-13,55.0
AP-2023-04-14-vigilance,2023-04-14,2023-04-14,2023-06-18,66.0
26-2023-04-14-00007,2023-04-14,2023-04-14,2023-05-11,28.0
2023-0251,2023-04-13,2023-04-16,2022-10-31,-166.0
AP 17 AVRIL 2023 - Lez-Aygues,2023-04-17,2023-04-17,2023-05-11,25.0
26-2023-04-14-00008 et 38-04-14-00005,2023-04-14,2023-04-14,2023-06-01,49.0
26-2023-04-17-00003 (Lez Eygues),2023-04-17,2023-04-18,2023-05-11,24.0
05-2023-04-14-00001,2023-04-17,2023-04-17,2023-05-15,29.0
17 avril 2023 Vaucluse,2023-04-17,2023-04-17,2023-05-11,25.0
45-20230417,2023-04-17,2023-04-18,2023-04-23,6.0
45-20230417-Beauce,2023-04-17,2023-04-18,2023-06-07,51.0
20230417,2023-04-17,2023-04-18,2023-07-18,92.0
Dive-nord_20230417,2023-04-17,2023-04-18,2023-05-18,31.0
2023-0251b,2023-04-13,2023-04-16,2023-05-31,46.0
38-2023-04-19-00004,2023-04-19,2023-04-19,2023-07-10,83.0
30-2023-04-24-00001,2023-04-24,2023-04-25,2023-04-25,1.0
30-2023-04-24-00001,2023-04-24,2023-04-25,2023-05-29,35.0
38-2023-04-19-00006,2023-04-19,2023-04-19,2023-06-01,44.0
38-2023-04-19-00005 et 26-2023-04-24-00002,2023-04-24,2023-04-24,2023-06-01,39.0
26-2023-04-14-00008 et 38-2023-04-14-00005,2023-04-14,2023-04-14,2023-06-01,49.0
DDTM34-2023-04-13831,2023-04-21,2023-04-21,2023-05-11,21.0
45-20230424-Est et sud,2023-04-24,2023-04-24,2023-04-23,0.0
45-20230417,2023-04-24,2023-04-24,2023-04-24,1.0
2023/ENV/PPE/003,2023-04-21,2023-04-21,2023-06-08,49.0
2023-111-002,2023-04-21,2023-04-21,2023-05-10,20.0
2023-061 ,2023-04-24,2023-04-24,2023-04-25,2.0
AP 2023-085,2023-04-25,2023-04-25,2023-04-29,5.0
AP_2023_DDT_SEB_160_Dive_du_Nord,2023-04-27,2023-05-01,2023-05-14,14.0
162023042800001,2023-04-28,2023-04-29,2022-10-31,-179.0
AP 202304-085,2023-04-25,2023-04-25,2023-05-30,36.0
DDTM/SER/2023119-0001,2023-04-29,2023-04-29,2023-05-09,11.0
23-2023-04-28-00005,2023-04-28,2023-05-01,2023-05-15,15.0
07-2023-05-05-00003,2023-05-05,2023-05-05,2023-05-11,7.0
2023-129-0001,2023-05-09,2023-05-10,2023-08-03,86.0
DDTM-SEMA-2023-0076,2023-05-04,2023-05-04,2023-05-30,27.0
DDTM/SER/2023129,2023-05-09,2023-05-09,2023-06-13,36.0
2023-131-001,2023-05-11,2023-05-11,2023-05-16,6.0
45-20230511-Est et sud,2023-05-11,2023-05-11,2023-05-25,15.0
45-20230511-Est et sud,2023-05-11,2023-04-24,2023-05-10,17.0
05-2023-05-11-00003,2023-05-11,2023-05-12,2023-05-23,12.0
AP_2023_DDT_SEB_ 179_Dive_Du_Nord,2023-05-10,2023-05-15,2023-05-15,1.0
07-2023-05-12-00002,2023-05-12,2023-05-12,2023-05-24,13.0
DDTM34-2023-05-13867,2023-05-12,2023-05-12,2023-05-31,20.0
AP 12 MAI 2023 Vaucluse,2023-05-12,2023-05-12,2023-06-14,34.0
AIP-12 ET 15 MAI 2023 - OUVEZE PROVENCALE,2023-05-15,2023-05-15,2023-06-20,37.0
26-2023-05-12-00006,2023-05-12,2023-05-12,2023-06-08,28.0
23-2023-05-15-00001,2023-05-16,2023-05-16,2023-06-12,28.0
26-2023-12-0004 (Ouvèze),2023-05-12,2023-05-12,2023-06-20,40.0
AP_2023_DDT_SEB_181_Dive_du_Nord,2023-05-15,2023-05-16,2023-05-28,13.0
AP_DDT_SEB_193_Clain,2023-05-16,2023-05-22,2023-05-28,7.0
2023-137-010,2023-05-17,2023-05-17,2023-06-06,21.0
26-2023-05-12-00005,2023-05-12,2023-05-12,2023-06-27,47.0
AIP-12 MAI 2023-LEZ-AYGUES,2023-05-12,2023-05-12,2023-06-11,31.0
05-2023-05-16-00004,2023-05-12,2023-05-16,2023-06-11,27.0
AP-Vigilance-Somme-2023_05_23,2023-05-23,2023-05-23,2023-06-15,24.0
05-2023-05-24-00001,2023-05-24,2023-05-24,2023-06-07,15.0
36-2023-05-25-00001,2023-05-25,2023-05-27,2023-06-02,7.0
DDT37_Vigilance 2023_MAJ,2023-03-16,2023-05-26,2023-06-09,15.0
Cogesteau 162023052500001,2023-05-25,2023-05-26,2023-05-31,6.0
AP_2023_DDT_SEB_203_DIVE DU NORD,2023-05-24,2023-05-29,2023-05-31,3.0
AP_2023_DDT_SEB_208_CLAIN,2023-05-24,2023-05-29,2023-06-04,7.0
07-2023-05-25-00009,2023-05-25,2023-05-25,2023-06-05,12.0
Dive du Nord_20230526,2023-05-26,2023-05-29,2023-06-02,5.0
47-2023-05-26-00010,2023-05-26,2023-05-26,2023-06-14,20.0
41-2023-03-23-00001bis,2023-03-23,2023-05-10,2023-06-08,30.0
Copie de 70-2023-03-23-00010,2023-03-23,2023-05-30,2023-07-12,44.0
71-2023-03-30-00002bis,2023-03-30,2023-05-30,2023-06-14,16.0
Arrêté du 26 mai 2023,2023-05-26,2023-05-26,2023-05-29,4.0
AP-2023-085-2,2023-04-25,2023-04-30,2023-08-11,104.0
45-20230526-Est et sud,2023-05-26,2023-05-30,2023-06-06,8.0
45-20230511-Est et sud,2023-05-26,2023-05-26,2023-05-26,1.0
71-2023-03-30-00002ter,2023-03-30,2023-05-30,2023-06-14,16.0
30-2023-05-25-00002,2023-05-25,2023-05-30,2023-06-07,9.0
Copie de 70-2023-03-23-00011bis,2023-03-23,2023-05-30,2023-07-12,44.0
2023/SEE/0112,2023-05-24,2023-05-24,2023-05-31,8.0
AP-Restriction-BvCharente-162023053100001,2023-05-31,2023-06-01,2023-06-02,2.0
DDTM-SEMA-2023-0085,2023-05-31,2023-05-31,2023-07-02,33.0
23EB551  AP Vigilance Aume-Couture,2023-05-31,2023-06-01,2023-05-31,0.0
Arrêté du 30 mai 2023,2023-05-30,2023-05-30,2023-05-29,0.0
Arrêté du 30 mai 2023,2023-05-30,2023-05-30,2023-06-07,9.0
74-CP-2023-03-13-CHERAN-VIGILANCEbis,2023-03-13,2024-04-16,2023-08-21,-238.0
IsleDronne-162023060100002,2023-06-01,2023-06-02,2023-06-14,13.0
2023/SEE/0116,2023-06-01,2023-06-01,2023-06-28,28.0
2023/SEE/0116,2023-06-01,2023-06-01,2023-06-08,8.0
38-2023-04-19-00006,2023-04-19,2023-06-02,2023-06-07,6.0
AP_2023_DDT_SEB_235_Vienne,2023-06-01,2023-06-05,2023-06-11,7.0
36-2023-06-02-00001,2023-06-02,2023-06-03,2023-06-09,7.0
AP_2023_DDT_SEB_229_Clain,2023-06-01,2023-06-05,2023-06-11,7.0
N°_38-2023-04-19-00005_et_N°_26-2023-04-24-00002,2023-04-19,2023-04-19,2023-06-01,44.0
AP_2023_DDT_SEB_232_Veude_Negron,2023-06-01,2023-06-05,2023-06-09,5.0
38-2023-04-19-00005 et 26-2023-04-24-00002,2023-04-19,2023-06-02,2023-06-07,6.0
26-2023-04-14-00008 et 38-2023-04-14-00005,2023-04-14,2023-06-02,2023-06-07,6.0
DDT/SEER/2023-009,2023-06-02,2023-06-03,2023-06-16,14.0
V2-26-2023-04-14-00008 et 38-04-14-00005,2023-04-14,2023-06-02,2023-06-09,8.0
DDTM34-2023-05-13904,2023-05-31,2023-06-01,2023-06-06,6.0
AP-Restriction-BvCharente-162023060200006,2023-06-02,2023-06-03,2023-06-07,5.0
DDT-2023-178,2023-05-25,2023-05-25,2023-06-07,14.0
929,2023-06-05,2023-06-05,2023-06-09,5.0
23-DDTM85-403,2023-06-02,2023-06-05,2023-06-30,26.0
DDT60 - 20230602,2023-06-02,2023-06-02,2023-06-20,19.0
AP_2023_DDT_SEB_230_Dive_du_Nord,2023-06-01,2023-06-01,2023-06-18,18.0
Dive-Nord_20230602,2023-06-02,2023-06-03,2023-06-19,17.0
Clain-20230605,2023-06-05,2023-06-06,2023-06-11,6.0
23EB559 vigilance Curé-Sèvre Marais Nord Aunis,2023-06-02,2023-06-05,2023-06-04,0.0
30-2023-05-25-00002v2,2023-05-25,2023-05-30,2023-06-08,10.0
23EB551 Vigilance Aume-Couture,2023-05-31,2023-06-01,2023-06-14,14.0
23EB559 vigilance Curé et Marais Nord Aunis,2023-06-02,2023-06-05,2023-06-11,7.0
45-20230607-Est et sud,2023-06-07,2023-06-08,2023-06-26,19.0
Bv Charente 162023060700001,2023-06-07,2023-06-08,2023-06-14,7.0
 45-202300607-Beauce,2023-06-07,2023-06-08,2023-06-26,19.0
V2_26-2023-04-14-00008 et 38-2023-04-14-00005,2023-04-14,2023-06-02,2023-06-08,7.0
V2_38-2023-04-19-00006,2023-04-19,2023-06-02,2023-07-13,42.0
Arrêté du 07 juin 2023,2023-06-07,2023-06-07,2023-06-12,6.0
2023-294,2023-06-06,2023-06-06,2023-10-31,148.0
36-2023-06-08-00001,2023-06-08,2023-06-10,2023-06-13,4.0
R02-2023-03-16-00006,2023-03-16,2023-03-16,2023-06-23,100.0
959,2023-06-09,2023-06-10,2023-06-15,6.0
05-2023-06-08-00002,2023-06-08,2023-06-08,2023-06-12,5.0
64-2023-06-07-0002 Joyeuse Alerte,2023-06-07,2023-06-09,2023-07-13,35.0
LET230504 Vigilance Ousse des Bois,2023-06-07,2023-06-07,2023-06-07,1.0
23EB571,2023-06-08,2023-06-12,2023-07-02,21.0
58-2023-06-07-00002,2023-06-07,2023-06-09,2023-06-16,8.0
30-2023-06-09-00002,2023-06-09,2023-06-09,2023-06-15,7.0
41-2023-06-08-00006,2023-06-08,2023-06-09,2023-06-16,8.0
AP_2023_DDT_SEB_242_Veude_Negron,2023-06-06,2023-06-10,2023-06-18,9.0
AP_2023_DDT_SEB_250_Clain,2023-06-07,2023-06-12,2023-06-18,7.0
DDTM34-2023-05-13906,2023-06-07,2023-06-07,2023-06-19,13.0
AP_2023_DDT_SEB_243_Vienne,2023-06-06,2023-06-12,2023-06-18,7.0
AP_Restrictions_Clain_162023060800005,2023-06-08,2023-06-12,2023-06-22,11.0
Clain_20230609,2023-06-09,2023-06-12,2023-06-19,8.0
26-2023-06-09-00001 et  38-2023-06-09-00002,2023-06-09,2023-06-09,2023-06-11,3.0
DDT37_Vigilance 2023_MAJv2,2023-03-16,2023-06-09,2023-06-09,1.0
SNMP-20230609,2023-06-09,2023-06-12,2023-06-23,12.0
TTA_20230609,2023-06-09,2023-06-12,2023-06-14,3.0
DDT37_Arrêté de restriction du 9 juin 2023,2023-06-09,2023-06-09,2023-06-10,2.0
23-DDTM85-414,2023-06-08,2023-06-12,2023-06-30,19.0
V2 26-2023-06-09-00001 et 38-2023-06-09-00,2023-06-09,2023-06-11,2023-07-12,32.0
2023/ENV/PPE/004,2023-06-08,2023-06-08,2023-07-12,35.0
2023-158-009,2023-06-07,2023-06-07,2023-06-23,17.0
AIP-VAUCLUSE-12 JUIN-2023-LEZ-AYGUES,2023-06-12,2023-06-12,2023-06-28,17.0
05-2023-06-12-00009,2023-06-12,2023-06-12,2023-06-28,17.0
Copie de LET230504 Vigilance Ousse des Bois,2023-06-07,2023-06-08,2023-07-13,36.0
73-2023,2023-06-14,2023-06-14,2023-06-18,5.0
DDT-SGREB-2023-161,2023-06-07,2023-06-08,2023-06-14,7.0
AP 202/2023,2023-06-13,2023-06-13,2023-06-21,9.0
203/2023,2023-06-13,2023-06-13,2023-06-20,8.0
209/2023,2023-06-13,2023-06-13,2023-06-20,8.0
17321,2023-06-07,2023-06-07,2023-06-20,14.0
Arrêté du 13 juin 2023,2023-06-13,2023-06-13,2023-06-22,10.0
AP_Restriction-IsleDronne-162023061300004,2023-06-13,2023-06-15,2023-07-05,21.0
36-2023-06-08-00001,2023-06-08,2023-06-14,2023-06-16,3.0
AP_Restriction-BvCharente-162023061300005,2023-06-13,2023-06-15,2023-06-21,7.0
82-2023-06-08-00002,2023-06-08,2023-06-10,2023-06-27,18.0
DDTM/SER/2023164-0002,2023-06-13,2023-06-13,2023-06-27,15.0
23EB588 vigilance Seugne,2023-06-14,2023-06-15,2023-06-21,7.0
TTA_20230614,2023-06-14,2023-06-15,2023-06-18,4.0
DDTM/SEBF/2023-216,2023-06-14,2023-06-14,2023-08-07,55.0
Arrêté du 9 juin 2023_MAJ,2023-06-09,2023-06-11,2023-07-01,21.0
2023-DDT-SE-230,2023-06-09,2023-06-10,2023-06-16,7.0
2023-DDT-SE-231,2023-06-09,2023-06-10,2023-06-22,13.0
DDT-SGREB-2023-192,2023-06-15,2023-06-15,2023-06-27,13.0
981,2023-06-15,2023-06-16,2023-06-30,15.0
Arrete-2023-06-15,2023-06-15,2023-06-15,2023-07-16,32.0
71-2023-06-14-00008,2023-06-14,2023-06-15,2023-06-15,1.0
47-2023-06-15-00001,2023-06-15,2023-06-15,2023-06-15,1.0
47-2023-06-15-00001,2023-06-15,2023-06-15,2023-06-29,15.0
74_DDT_ARP_2023-0846_VIG_Dranses_SOL_AL_Chéran,2023-06-15,2023-06-15,2023-06-27,13.0
74-2023,2023-06-19,2023-06-19,2023-07-03,15.0
41-2023-06-15-00002,2023-06-15,2023-06-17,2023-06-19,3.0
AP_2023_DDT_SEB_265_Vienne,2023-06-14,2023-06-19,2023-06-25,7.0
2023_AGROS,2023-06-09,2023-06-18,2023-06-27,10.0
36-2023-06-15-00002,2023-06-15,2023-06-17,2023-06-23,7.0
30-2023-06-16-00001,2023-06-16,2023-06-16,2023-07-10,25.0
AP_2023_DDT_SEB_267_Clain,2023-06-14,2023-06-19,2023-06-25,7.0
DDT-SEEB-PPE-Etiage n° 2023-02,2023-06-09,2023-06-13,2023-07-06,24.0
AP_2023_DDT_SEB_263_Veude_Negron,2023-06-14,2023-06-19,2023-06-18,0.0
AP 15 JUIN 2023 - VAUCLUSE,2023-06-15,2023-06-15,2023-06-28,14.0
DDT60 - 20230620,2023-06-20,2023-06-20,2023-07-16,27.0
58-2023-06-16-00001,2023-06-16,2023-06-17,2023-06-22,6.0
DDT/SEE/2023/0031,2023-06-15,2023-06-15,2023-06-27,13.0
2023-06-14-001,2023-06-14,2023-06-14,2023-07-07,24.0
DDT/SEER/2023-011,2023-06-16,2023-06-17,2023-06-23,7.0
2023-03-02,2023-06-16,2023-06-16,2023-07-03,18.0
71-2023-06-14-00008bis,2023-06-14,2023-06-16,2023-06-19,4.0
AP_N°2023_DDT_SEB_263_Veude-Negron,2023-06-14,2023-06-19,2023-06-27,9.0
75-2023-06-15-00008,2023-06-15,2023-06-18,2023-10-31,136.0
92_2023_80,2023-06-16,2023-06-18,2023-10-31,136.0
93_2023_1654,2023-06-16,2023-06-18,2023-10-31,136.0
94_2023_02177,2023-06-16,2023-06-18,2023-06-30,13.0
20230616_Dive-Nord,2023-06-16,2023-06-19,2023-06-23,5.0
20230616-Clain,2023-06-16,2023-06-19,2023-06-23,5.0
20230616-TTA,2023-06-16,2023-06-19,2023-06-23,5.0
2023-DDT-SE-238,2023-06-16,2023-06-17,2023-06-22,6.0
2350-23-00105+,2023-06-14,2023-06-15,2023-07-12,28.0
AP_2023_DDT_SEB_260_Dive_du_Nord,2023-06-14,2023-06-14,2023-06-25,12.0
1494/2023,2023-06-16,2023-06-20,2023-07-17,28.0
2023_87_01_Gartempe_Vienne_Dordogne2,2023-06-16,2023-06-16,2023-07-11,26.0
2023_87_01_Charente2,2023-06-16,2023-06-16,2023-07-12,27.0
2023_RANCE,2023-06-09,2023-06-09,2023-07-14,36.0
2023_BAGAS,2023-06-09,2023-06-09,2023-06-27,19.0
2023_EnGUIBAUD,2023-06-09,2023-06-09,2023-06-27,19.0
2023-DDt-SE-239,2023-06-16,2023-06-20,2023-06-22,3.0
90-2023-06-19-00004,2023-06-19,2023-06-19,2023-09-05,79.0
DDT-SEEB-PPE-2023-Etiage n°2023-SN-01,2023-04-12,2023-04-12,2023-07-05,85.0
76_Z5_20230606_V3,2023-06-06,2023-06-06,2023-10-10,127.0
76_Z9_20230606_V3,2023-06-06,2023-06-06,2023-08-02,58.0
76_Z8_20230606_V3,2023-06-06,2023-06-06,2023-08-02,58.0
203/2023,2023-06-13,2023-06-20,2023-07-11,22.0
209/2023,2023-06-13,2023-06-20,2023-06-21,2.0
71-2023-06-14-00008ter,2023-06-19,2023-06-20,2023-06-22,3.0
71-2023-06-14-00008ter,2023-06-19,2023-06-20,2023-07-13,24.0
2023-01,2023-06-16,2023-06-17,2023-06-30,14.0
DDT-SEEB-PPE-Dive-n°2023-02,2023-06-09,2023-06-09,2023-06-25,17.0
2023 - 17321,2023-06-07,2023-06-20,2023-07-12,23.0
41-2023-06-15-00002 bis,2023-06-19,2023-06-20,2023-06-29,10.0
DDT-SEEB-PPE-Etiage n°2023-02-TTA,2023-06-20,2023-06-20,2023-07-26,37.0
Arrêté du 20 juin 2023,2023-06-20,2023-06-22,2023-06-28,7.0
2023/SEE/0120,2023-06-08,2023-06-09,2023-06-30,22.0
AP-Restriction-BvCharente-162023062100002,2023-06-21,2023-06-22,2023-06-28,7.0
23EB588 vigilance Seugne Aume-Couture,2023-06-14,2023-06-15,2023-06-28,14.0
DDT-2023-203,2023-06-08,2023-06-08,2023-06-16,9.0
DDT53_AR-n°2_06-06-2023,2023-06-06,2023-06-07,2023-06-27,21.0
DDT-2023-208,2023-06-16,2023-06-16,2023-06-29,14.0
2023/DDT/SEPR/165,2023-06-16,2023-06-16,2023-06-30,15.0
LOT_AP_E-2023-168_20230616 ,2023-06-16,2023-06-17,2023-06-30,14.0
17-2023-SEC Craie de Champagne Nord,2023-03-23,2023-03-24,2023-10-31,222.0
17-2023-SEC Craie de Champagne Sud et Centre,2023-03-23,2023-03-24,2023-10-31,222.0
17-2023-SEC Calcaires de Brie et Champigny,2023-03-23,2023-03-24,2023-07-15,114.0
20230621-API-Ouveze-VIGILANCE,2023-06-21,2023-06-21,2023-06-28,8.0
AP73_2023-0679,2023-06-21,2023-06-21,2023-07-23,33.0
26-2023-06-21-00001,2023-06-21,2023-06-21,2023-09-25,97.0
v2_2023-DDT-SE-231,2023-06-09,2023-06-23,2023-08-10,49.0
230/2023,2023-06-21,2023-06-22,2023-07-28,37.0
231/2023,2023-06-21,2023-06-22,2023-08-09,49.0
58-2023-06-22-00001,2023-06-22,2023-06-23,2023-07-06,14.0
35-2023-06-15-00001,2023-06-15,2023-06-15,2023-07-19,35.0
AP_Restriction-BvClain-162023062200001,2023-06-22,2023-06-23,2023-07-02,10.0
v2_2023-DDt-SE-239,2023-06-16,2023-06-23,2023-08-10,49.0
v2_2023-DDT-SE-238,2023-06-16,2023-06-23,2023-07-21,29.0
APN°2023_DDT_SEB_282_Gartempe_Anglin,2023-06-23,2023-06-26,2023-06-27,2.0
36-2023-06-22-00001,2023-06-22,2023-06-24,2023-06-30,7.0
V2_45-20230607-Est et sud,2023-06-07,2023-06-27,2023-11-27,154.0
07-2023-06-15-00016,2023-06-15,2023-06-15,2023-07-05,21.0
25-2023-06-23-00001,2023-06-23,2023-06-23,2023-08-30,69.0
V2_45-202300607-Beauce,2023-06-07,2023-06-27,2023-06-27,1.0
52-2023-06-00139,2023-06-16,2023-06-16,2023-06-30,15.0
DDT/SEER/2023-013,2023-06-23,2023-06-24,2023-06-30,7.0
78-2023-06-22-00004,2023-06-22,2023-06-23,2023-07-19,27.0
SNMP-20230609,2023-06-09,2023-06-12,2023-06-29,18.0
20230616_Dive-Nord,2023-06-16,2023-06-19,2023-06-25,7.0
20230616-Clain,2023-06-16,2023-06-19,2023-06-25,7.0
20230616-TTA,2023-06-16,2023-06-19,2023-07-23,35.0
AP du 19 juin 2023 (vigilance renforcée et alerte),2023-06-19,2023-06-19,2023-06-26,8.0
2023-03-01,2023-06-16,2023-06-16,2023-07-03,18.0
2023-DDT 57/SABE/EAU-30 Zone MAONS,2023-06-26,2023-06-27,2023-07-04,8.0
2023-DDT 57/SABE/EAU-31 Zone MAM,2023-06-26,2023-06-27,2023-07-04,8.0
2023-DDT 57/SABE/EAU-32 Zone Sarre,2023-06-26,2023-06-27,2023-07-06,10.0
2023-DDT 57/SABE/EAU-33 Zone LSMZ,2023-06-26,2023-06-27,2023-07-06,10.0
AP du 19 juin 2023 (vigilance renforcée et alerte),2023-06-27,2023-06-27,2023-07-10,14.0
